,Feedback,Lemma,label,Subjectivity,Polarity,Sentiment_Analysis
0,I don't think it's delivery guy fault but packet was broken due to some leakage It is like some leftover food,  think delivery guy fault packet break due leakage like leftover food,0,0.375,-0.125,not happy
1,I liked the quantity of the food and the taste.,  like quantity food taste,1,0.0,0.0,happy
2,"Bhindi was very raw, butter milk had a foul smell",  Bhindi raw butter milk foul smell,0,0.46153846153846156,-0.23076923076923078,not happy
3,"One of the 3rd class restaurant. I ordered Egg Masala, they sent egg curry, I ordered green salad, they sent 3 slices of onions and 3 slices of tomatoes and charged me 49 rupees.",  One rd class restaurant order Egg Masala send egg curry order green salad send slice onion slice tomato charge rupee,0,0.3,-0.2,not happy
4,Chicken bowl had only two pieces of chicken,  Chicken bowl two piece chicken,0,0.95,-0.6,not happy
5,The phulka was semi-coocked.,  phulka semi coocked,1,0.0,0.0,happy
6,Looks like a fake Copy of Voosh,  Looks like fake Copy Voosh,0,1.0,-0.5,not happy
7,The bhindi sabji had too much onion and tomatoes Also the rice was very stiff,  bhindi sabji much onion tomato Also rice stiff,1,0.35,-0.007142857142857131,not happy
8,quintyty is not good,  quintyty good,0,0.6000000000000001,0.7,happy
9,No gobi in alo gobi and it was too much spicy. I mean i love spicy food but this was some mistake. Couldn't eat.,  gobi alo gobi much spicy mean love spicy food mistake eat,0,0.4958333333333333,0.12916666666666668,happy
10,Butter milk was not provided. Sweets was stale,  Butter milk provide Sweets stale,0,0.5,-0.5,not happy
11,Did not get the butter milk with this..got only 3 buttermilk which was ordered,  get butter milk get buttermilk order,0,0.0,0.0,happy
12,Bad rotisserie and hair in sabji,  Bad rotisserie hair sabji,0,0.6666666666666666,-0.6999999999999998,not happy
13,Love this thali. Food was really delicious.,  Love thali Food really delicious,1,0.8,0.75,happy
14,Gobi paratha was so spicy that I'm having to throw it away. So annoying,  Gobi paratha spicy throw away annoy,0,0.0,0.0,happy
15,Please add option to add extra phulka with thali,  Please add option add extra phulka thali,1,0.1,0.0,happy
16,Paneer stale and stinky. Unaeatable.,  Paneer stale stinky Unaeatable,0,0.5,-0.5,not happy
17,Not up to expectations seems like chicken is old and also the food qantity,  expectation seem like chicken old also food qantity,0,0.575,-0.25,not happy
18,"Rice is not good ,curry quantity is too low ,not worth of money",  Rice good curry quantity low worth money,0,0.3333333333333334,0.3333333333333333,happy
19,Sabji and dal quantity are very less,  Sabji dal quantity less,0,0.06666666666666667,-0.16666666666666666,not happy
20,Awesome!!!,  Awesome,1,1.0,1.0,happy
21,Sabji quantity is very less,  Sabji quantity less,0,0.06666666666666667,-0.16666666666666666,not happy
22,Raita is missing. Dal taste is not good,  Raita miss Dal taste good,0,0.6000000000000001,0.7,happy
23,I got only one Paratha,  get one Paratha,0,0.0,0.0,happy
24,Very less quantity,  less quantity,0,0.06666666666666667,-0.16666666666666666,not happy
25,Bhai Sahab chotu gulab jamun thaa but Swad a haa haa maja aagaya .... lajawaab ek dum home made,  Bhai Sahab chotu gulab jamun thaa Swad haa haa maja aagaya lajawaab ek dum home make,1,0.0,0.0,happy
26,He was communicating properly and misbehaviour ing with us ...too bad experience Tasteless and pathetic,  communicate properly misbehaviour ing us bad experience Tasteless pathetic,0,0.6666666666666666,-0.575,not happy
27,Vada and ghee dosa is missed,  Vada ghee dosa miss,0,0.0,0.0,happy
28,Kudos,  Kudos,1,0.0,0.0,happy
29,"Food item was very weird, didn't taste like it should at all",  Food item weird taste like,0,1.0,-0.5,not happy
30,"Not so good, and the quantity was less too.",  good quantity less,0,0.33333333333333337,0.26666666666666666,happy
31,"Old battery is used, food smells bad",  Old battery use food smell bad,0,0.43333333333333335,-0.29999999999999993,not happy
32,"Everything in the thali was either bad in taste or the salt is more,",  Everything thali either bad taste salt,0,0.6666666666666666,-0.6999999999999998,not happy
33,I ordered for veg and I got chicken . Very worst restaurant I have orders from.,  order veg get chicken bad restaurant order,0,0.8083333333333333,-0.6499999999999999,not happy
34,"Only aata, minimum stuffing!",  aata minimum stuffing,0,0.0,0.0,happy
35,Politeness Food was cold. Dal was very watery. Didn't like the taste.,  Politeness Food cold Dal watery like taste,0,1.0,-0.6,not happy
36,"My worst food experience. Everything uncooked. These guys are fooling customers. I mean the worst, say it portion wise, taste wise or packaging wise. I regret ordering because in corona times you tend not to order to keep yourself safe. I took the risk and worst happened. Please swiggy look into this restaurant.",  bad food experience Everything uncooked guy fool customer mean bad say portion wise taste wise packaging wise regret order corona time tend order keep safe take risk bad happen Please swiggy look restaurant,0,0.6652777777777777,0.009722222222222274,happy
37,All the items was missing and the restaurant people talks are extremely bad their attitude jus kindly shut the restaurant and please go away,  item miss restaurant people talk extremely bad attitude jus kindly shut restaurant please go away,0,0.7833333333333333,-0.04999999999999993,not happy
38,"Very tasty, Thank you so much guys, your food changed my mind. Lots of love.",  tasty Thank much guy food change mind Lots love,1,0.4,0.35,happy
39,It was burned and stuffing was very less not worthy,  burn stuff less worthy,0,0.5333333333333333,0.08333333333333333,happy
40,Horrible taste,  Horrible taste,0,1.0,-1.0,not happy
41,Taste,  Taste,1,0.0,0.0,happy
42,Bad and bendi fry already bad smell,  Bad bendi fry already bad smell,0,0.6666666666666666,-0.6999999999999998,not happy
43,It was not egg Masala.. too spicy.. no salad was given.. overall it was total waste of money,  egg Masala spicy salad give overall total waste money,0,0.25,-0.06666666666666667,not happy
44,Dal was spilt entirely,  Dal spill entirely,1,0.625,0.0,happy
45,Food was Tasty and just right quantity. Good packing.,  Food Tasty right quantity Good packing,1,0.5678571428571428,0.4928571428571428,happy
46,"Food quality is too bad, no hygiene maintained, food was not at all good Food was very bad in taste. No hygiene maintained",  Food quality bad hygiene maintain food good Food bad taste hygiene maintain,0,0.6444444444444444,-0.23333333333333325,not happy
47,Item missing,  Item miss,0,0.0,0.0,happy
48,Wrong product sent,  Wrong product send,1,0.9,-0.5,not happy
49,Worst taste,  Worst taste,0,1.0,-1.0,not happy
50,The taste was sour and bhindi had extra salt in it. The whole food was packed in plastic low quality plastic.Very disappointed trying from this restaurant!,  taste sour bhindi extra salt whole food pack plastic low quality plastic disappointed try restaurant,0,0.33,-0.13999999999999999,not happy
51,CHECK CHAT,  CHECK CHAT,0,0.0,0.0,happy
52,Awsome?? I liked the taste and neatly packed. Good,  Awsome like taste neatly pack Good,1,0.6000000000000001,0.7,happy
53,1 st time when I ordered taste was good so I repeated the order but this time it's horrible,  st time order taste good repeat order time horrible,0,0.8,-0.15000000000000002,not happy
54,Very satisfactory meal,  satisfactory meal,1,0.0,0.0,happy
55,Amazing food taste,  Amazing food taste,1,0.9,0.6000000000000001,happy
56,Bad food,  Bad food,0,0.6666666666666666,-0.6999999999999998,not happy
57,Spoon missing,  Spoon miss,1,0.0,0.0,happy
58,The restaurant sells bad quality and bad taste food.,  restaurant sell bad quality bad taste food,0,0.6666666666666666,-0.6999999999999998,not happy
59,Courteous punctual well spoken polite,  Courteous punctual well speak polite,1,1.0,0.6,happy
60,Worst dosa,  Worst dosa,0,1.0,-1.0,not happy
61,Onion Dosa was extra spicy..please reduce green chillies as it gets really difficult to eat that,  Onion Dosa extra spicy please reduce green chilli get really difficult eat,1,0.4666666666666666,-0.2333333333333333,not happy
62,Idili not as good as they should be,  Idili good,1,0.6000000000000001,0.7,happy
63,There was soda(sodium bicarbonate) in both rice and roti. Less chicken quantity for the price.,  soda sodium bicarbonate rice roti Less chicken quantity price,0,0.5083333333333333,-0.3833333333333333,not happy
64,Liked that chit of paper with polite & adorable questions.,  Liked chit paper polite adorable question,1,0.9,0.55,happy
65,"Incomplete order, 70% of the order missing Very unprofessional behaviour from the restaurant. They sent incomplete order, nearly 70% of my order was missing. They did not even have the courtesy of informing me about it. Would never recommend this restaurant to anyone",  Incomplete order order miss unprofessional behaviour restaurant send incomplete order nearly order miss even courtesy inform Would never recommend restaurant anyone,0,0.4,0.1,happy
66,Refused delivery since it was a replacement order that they had missed to provide earlier and misguided the delivery personnel and eventhough my order was not delivered they updated as delivered.,  Refused delivery since replacement order miss provide early misguide delivery personnel eventhough order deliver update deliver,0,0.3,0.1,happy
67,It was spoiled and very hard to eat,  spoil hard eat,1,0.5416666666666666,-0.2916666666666667,not happy
68,No butter milk was there.,  butter milk,1,0.0,0.0,happy
69,Dal didn't taste good. Paneer was good. Quantity can be increased.,  Dal taste good Paneer good Quantity increase,1,0.6000000000000001,0.7,happy
70,Food is spoiled and I totally thrown it away. I didn?t complain coz it?s gonna be a waste of my time.,  Food spoil totally throw away complain coz gon na waste time,0,0.375,-0.1,not happy
71,Bhindi was uncooked in some parts,  Bhindi uncooked part,1,0.1,-0.1,not happy
72,"Don't order any combo pack, will spills out.",  order combo pack spill,0,0.0,0.0,happy
73,Tomato chutney was awesome,  Tomato chutney awesome,1,1.0,1.0,happy
74,This is a delivery only restaurant. I have ordered 1. Vada 2. Ghee plain dosa Vada was hot and crispy with perfect taste. Ghee plain dosa was soft and nice. Excellent value for money. Will definitely order again-4/5.,  delivery restaurant order Vada Ghee plain dosa Vada hot crispy perfect taste Ghee plain dosa soft nice Excellent value money definitely order,1,0.6767857142857143,0.3151785714285714,happy
75,Food was amazing,  Food amaze,1,0.0,0.0,happy
76,Excellent thali,  Excellent thali,1,1.0,1.0,happy
77,Too much oil. Spilled oil everywhere also teared packaging and order become messy,  much oil Spilled oil everywhere also teared packaging order become messy,0,0.30000000000000004,0.0,happy
78,Healthy food,  Healthy food,1,0.5,0.5,happy
79,Missing item. Chickpea salad,  Missing item Chickpea salad,0,0.05,-0.2,not happy
80,Chicken wasn't fresh,  Chicken fresh,1,0.725,-0.15,not happy
